level,tt_value
0,0.0
1,0.0
2,0.01
3,0.01
4,0.01
5,0.01
6,0.01
7,0.02
8,0.02
9,0.02
10,0.02
11,0.02
12,0.02
13,0.02
14,0.02
15,0.02
16,0.02
17,0.03
18,0.03
19,0.03
20,0.03
21,0.03
22,0.03
23,0.03
24,0.03
25,0.03
26,0.04
27,0.04
28,0.04
29,0.04
30,0.04
31,0.04
32,0.04
33,0.04
34,0.04
35,0.04
36,0.05
37,0.05
38,0.05
39,0.05
40,0.05
41,0.05
42,0.05
43,0.05
44,0.05
45,0.06
46,0.06
47,0.06
48,0.06
49,0.06
50,0.06
51,0.06
52,0.06
53,0.07
54,0.07
55,0.07
56,0.07
57,0.07
58,0.07
59,0.07
60,0.07
61,0.07
62,0.08
63,0.08
64,0.08
65,0.08
66,0.08
67,0.08
68,0.08
69,0.08
70,0.09
71,0.09
72,0.09
73,0.09
74,0.09
75,0.09
76,0.09
77,0.09
78,0.1
79,0.1
80,0.1
81,0.1
82,0.1
83,0.1
84,0.1
85,0.1
86,0.11
87,0.11
88,0.11
89,0.11
90,0.11
91,0.11
92,0.11
93,0.11
94,0.12
95,0.12
96,0.12
97,0.12
98,0.12
99,0.12
100,0.12
101,0.13
102,0.13
103,0.13
104,0.13
105,0.13
106,0.13
107,0.13
108,0.13
109,0.14
110,0.14
111,0.14
112,0.14
113,0.14
114,0.14
115,0.14
116,0.15
117,0.15
118,0.15
119,0.15
120,0.15
121,0.15
122,0.15
123,0.16
124,0.16
125,0.16
126,0.16
127,0.16
128,0.16
129,0.16
130,0.17
131,0.17
132,0.17
133,0.17
134,0.17
135,0.17
136,0.17
137,0.18
138,0.18
139,0.18
140,0.18
141,0.18
142,0.18
143,0.18
144,0.19
145,0.19
146,0.19
147,0.19
148,0.19
149,0.19
150,0.19
151,0.2
152,0.2
153,0.2
154,0.2
155,0.2
156,0.2
157,0.21
158,0.21
159,0.21
160,0.21
161,0.21
162,0.21
163,0.21
164,0.22
165,0.22
166,0.22
167,0.22
168,0.22
169,0.22
170,0.23
171,0.23
172,0.23
173,0.23
174,0.23
175,0.23
176,0.23
177,0.24
178,0.24
179,0.24
180,0.24
181,0.24
182,0.24
183,0.25
184,0.25
185,0.25
186,0.25
187,0.25
188,0.25
189,0.26
190,0.26
191,0.26
192,0.26
193,0.26
194,0.26
195,0.27
196,0.27
197,0.27
198,0.27
199,0.27
200,0.27
201,0.28
202,0.28
203,0.28
204,0.28
205,0.28
206,0.28
207,0.29
208,0.29
209,0.29
210,0.29
211,0.29
212,0.29
213,0.3
214,0.3
215,0.3
216,0.3
217,0.3
218,0.31
219,0.31
220,0.31
221,0.31
222,0.31
223,0.31
224,0.32
225,0.32
226,0.32
227,0.32
228,0.32
229,0.32
230,0.33
231,0.33
232,0.33
233,0.33
234,0.33
235,0.34
236,0.34
237,0.34
238,0.34
239,0.34
240,0.34
241,0.35
242,0.35
243,0.35
244,0.35
245,0.35
246,0.36
247,0.36
248,0.36
249,0.36
250,0.36
251,0.36
252,0.36
253,0.36
254,0.37
255,0.37
256,0.37
257,0.37
258,0.37
259,0.38
260,0.38
261,0.38
262,0.38
263,0.38
264,0.39
265,0.39
266,0.39
267,0.39
268,0.4
269,0.4
270,0.4
271,0.4
272,0.4
273,0.41
274,0.41
275,0.41
276,0.41
277,0.42
278,0.42
279,0.42
280,0.42
281,0.42
282,0.43
283,0.43
284,0.43
285,0.43
286,0.44
287,0.44
288,0.44
289,0.44
290,0.44
291,0.45
292,0.45
293,0.45
294,0.45
295,0.46
296,0.46
297,0.46
298,0.46
299,0.47
300,0.47
301,0.47
302,0.47
303,0.47
304,0.48
305,0.48
306,0.48
307,0.48
308,0.49
309,0.49
310,0.49
311,0.49
312,0.5
313,0.5
314,0.5
315,0.5
316,0.51
317,0.51
318,0.51
319,0.51
320,0.52
321,0.52
322,0.52
323,0.52
324,0.53
325,0.53
326,0.53
327,0.53
328,0.54
329,0.54
330,0.54
331,0.55
332,0.55
333,0.55
334,0.55
335,0.56
336,0.56
337,0.56
338,0.56
339,0.57
340,0.57
341,0.57
342,0.57
343,0.58
344,0.58
345,0.58
346,0.59
347,0.59
348,0.59
349,0.59
350,0.6
351,0.6
352,0.6
353,0.61
354,0.61
355,0.61
356,0.61
357,0.62
358,0.62
359,0.62
360,0.63
361,0.63
362,0.63
363,0.64
364,0.64
365,0.64
366,0.64
367,0.65
368,0.65
369,0.65
370,0.66
371,0.66
372,0.66
373,0.67
374,0.67
375,0.67
376,0.68
377,0.68
378,0.68
379,0.69
380,0.69
381,0.69
382,0.7
383,0.7
384,0.7
385,0.71
386,0.71
387,0.71
388,0.72
389,0.72
390,0.72
391,0.73
392,0.73
393,0.73
394,0.74
395,0.74
396,0.74
397,0.75
398,0.75
399,0.75
400,0.76
401,0.76
402,0.77
403,0.77
404,0.77
405,0.78
406,0.78
407,0.78
408,0.79
409,0.79
410,0.8
411,0.8
412,0.8
413,0.81
414,0.81
415,0.81
416,0.82
417,0.82
418,0.83
419,0.83
420,0.83
421,0.84
422,0.84
423,0.85
424,0.85
425,0.85
426,0.86
427,0.86
428,0.87
429,0.87
430,0.87
431,0.88
432,0.88
433,0.89
434,0.89
435,0.89
436,0.9
437,0.9
438,0.91
439,0.91
440,0.92
441,0.92
442,0.92
443,0.93
444,0.93
445,0.94
446,0.94
447,0.95
448,0.95
449,0.95
450,0.96
451,0.96
452,0.97
453,0.97
454,0.98
455,0.98
456,0.99
457,0.99
458,0.99
459,1.0
460,1.0
461,1.01
462,1.01
463,1.02
464,1.02
465,1.03
466,1.03
467,1.04
468,1.04
469,1.04
470,1.05
471,1.05
472,1.06
473,1.06
474,1.07
475,1.07
476,1.08
477,1.08
478,1.09
479,1.09
480,1.1
481,1.1
482,1.11
483,1.11
484,1.12
485,1.12
486,1.13
487,1.13
488,1.13
489,1.14
490,1.14
491,1.15
492,1.15
493,1.16
494,1.16
495,1.17
496,1.17
497,1.18
498,1.18
499,1.19
500,1.19
501,1.2
502,1.2
503,1.21
504,1.21
505,1.22
506,1.22
507,1.23
508,1.23
509,1.24
510,1.24
511,1.25
512,1.25
513,1.26
514,1.26
515,1.27
516,1.27
517,1.28
518,1.28
519,1.29
520,1.29
521,1.3
522,1.3
523,1.3
524,1.31
525,1.31
526,1.32
527,1.32
528,1.33
529,1.33
530,1.34
531,1.34
532,1.35
533,1.35
534,1.36
535,1.36
536,1.37
537,1.37
538,1.38
539,1.38
540,1.39
541,1.39
542,1.4
543,1.4
544,1.41
545,1.41
546,1.42
547,1.42
548,1.43
549,1.43
550,1.44
551,1.44
552,1.45
553,1.45
554,1.46
555,1.46
556,1.46
557,1.47
558,1.47
559,1.48
560,1.48
561,1.49
562,1.49
563,1.5
564,1.5
565,1.51
566,1.51
567,1.52
568,1.52
569,1.52
570,1.53
571,1.53
